# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 258K of event 'cycles:P'
# Event count (approx.): 252527269824
#
# Overhead  Command  Shared Object         Symbol                                                                                                                                                                               
# ........  .......  ....................  .....................................................................................................................................................................................
#
     9.48%  a.out    [kernel.kallsyms]     [k] 0xffffffff94ebfda0
     2.94%  a.out    [kernel.kallsyms]     [k] 0xffffffff960210a0
     2.26%  a.out    [kernel.kallsyms]     [k] 0xffffffff94ea816c
     1.99%  a.out    [kernel.kallsyms]     [k] 0xffffffff9601ffc1
     1.71%  a.out    [kernel.kallsyms]     [k] 0xffffffff960201c9
     1.68%  a.out    [kernel.kallsyms]     [k] 0xffffffff960201ac
     1.29%  a.out    [kernel.kallsyms]     [k] 0xffffffff96021085
     1.24%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f6b78a
     1.14%  a.out    [kernel.kallsyms]     [k] 0xffffffff96021080
     1.01%  a.out    [kernel.kallsyms]     [k] 0xffffffff94e6a645
     0.86%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f6b7d8
     0.84%  a.out    a.out                 [.] thread_function(void*)
     0.66%  a.out    libc.so.6             [.] clock_nanosleep@GLIBC_2.2.5
     0.60%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f6b96e
     0.59%  a.out    [kernel.kallsyms]     [k] 0xffffffff96003486
     0.53%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f55d36
     0.44%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f67eab
     0.44%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f6b737
     0.43%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f71788
     0.42%  a.out    [kernel.kallsyms]     [k] 0xffffffff950036ec
     0.37%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f668be
     0.33%  a.out    [kernel.kallsyms]     [k] 0xffffffff95f88a12
     0.33%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f55d3c
     0.33%  a.out    [kernel.kallsyms]     [k] 0xffffffff9600358a
     0.32%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f87bf8
     0.32%  a.out    libc.so.6             [.] __nanosleep
     0.31%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f87bf4
     0.31%  a.out    libc.so.6             [.] __GI___pthread_enable_asynccancel
     0.27%  a.out    [kernel.kallsyms]     [k] 0xffffffff94ec3a04
     0.27%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f55d2f
     0.26%  a.out    libc.so.6             [.] _int_malloc
     0.26%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f99767
     0.25%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f71a26
     0.25%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f9976c
     0.25%  a.out    libc.so.6             [.] usleep
     0.25%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f55d29
     0.24%  a.out    [kernel.kallsyms]     [k] 0xffffffff9563fc9f
     0.24%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f6cfb9
     0.24%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f99763
     0.23%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f67efa
     0.23%  a.out    [kernel.kallsyms]     [k] 0xffffffff96200080
     0.23%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f55d2c
     0.23%  a.out    libc.so.6             [.] malloc
     0.22%  a.out    [kernel.kallsyms]     [k] 0xffffffff96003589
     0.22%  a.out    [kernel.kallsyms]     [k] 0xffffffff9563fc94
     0.21%  a.out    [kernel.kallsyms]     [k] 0xffffffff950023e8
     0.21%  a.out    [kernel.kallsyms]     [k] 0xffffffff95005be8
     0.20%  a.out    [kernel.kallsyms]     [k] 0xffffffff9500e7c0
     0.20%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f6cfab
     0.20%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f71397
     0.20%  a.out    libc.so.6             [.] _int_free
     0.19%  a.out    [kernel.kallsyms]     [k] 0xffffffff96020a40
     0.17%  a.out    [kernel.kallsyms]     [k] 0xffffffff950040ce
     0.17%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f55d44
     0.17%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f8da61
     0.17%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f6c83f
     0.17%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f8dabc
     0.17%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f6d0ab
     0.16%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f87bf0
     0.16%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f8da6b
     0.16%  a.out    [kernel.kallsyms]     [k] 0xffffffff96006c7c
     0.16%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f87bfc
     0.16%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f8da64
     0.16%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f524ec
     0.16%  a.out    [kernel.kallsyms]     [k] 0xffffffff94ebfd41
     0.16%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f662bd
     0.15%  a.out    [kernel.kallsyms]     [k] 0xffffffff9518f0e6
     0.15%  a.out    [kernel.kallsyms]     [k] 0xffffffff951b0551
     0.15%  a.out    [kernel.kallsyms]     [k] 0xffffffff94ebfd44
     0.15%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f6d0a6
